#
# This file tracks known errors in the compiled unit test suite.
#
# FILE FORMAT: $test\s+$type\s+$description
#    $test = Name of unit test file. A Symlink file should exist in this directory pointing to this file.
#            The file will have -- corresponding to slashses so unit tests can live in subdirectories under t/
#    $type = Type of test failure. See below for possible values.
#    $description = Information that will display on the TODOs so the test will pass.
#
# Failure profiles $type may be set to:
#    BC      => B::C Fails to generate c code
#    GCC     => gcc cannot compile generated c code
#    SIG     => Compiled binary exits with signal
#    PLAN    => Crashes before completion
#    TESTS   => Some tests are failing
#    SEQ     => The tests run out of sequence
#    TODO    => TODO test unexpectedly failing/succeeding
#    COMPAT  => Test isn't useful for B::C. This test will be a skip_all.
#    SKIP    => The test is so broken that we prefer to skip it for now. ( ~skip_all )
#
# NOTES:
# - Any line in this file not corresponding to a symlink in this folder will be ignored.
# - Fields are white space delimited. It's assumed $test and $type will have no spaces in them.
#

a:                           223       ; b: 223 [ from foo ]"
base/lex.t                   PLAN      BC issue #222 - Cannot use '<<' in regexp
comp/final_line_num.t        COMPAT    This test is about BEGIN / file parse behavior so not relevant to B::C
comp/hints.t                 COMPAT    tests are using BEGIN block, do not ready for B::C
comp/parser.t                COMPAT    We're not going to support ' as a package separator until we need to: https://github.com/rurban/perl-compiler/issues/217
comp/proto.t                 TESTS     Test results:
comp/require.t               TODO      No TODO tests passed + ?? BC issue #245 - Cannot reload XSLoader
comp/utf.t                   PLAN      Plan was valid
io/bom.t                     COMPAT    BC issue 312 - BOM seems to be rejected by perlcc but really, who needs this?
io/dup.t                     TESTS     Test results:
io/layers.t                  SKIP      This is a known BC issue we've never cared about. use open doesn't work. See https://code.google.com/p/perl-compiler/issues/detail?id=203
io/open.t                    PLAN      Plan was valid
io/utf8.t                    TESTS     Test results:
mro/basic_01_c3_utf8.t       SIG       Exit signal is 11 SEGV
mro/basic_01_dfs_utf8.t      SIG       Exit signal is 11 SEGV
mro/basic_02_c3_utf8.t       SIG       Exit signal is 11 SEGV
mro/basic_02_dfs_utf8.t      SIG       Exit signal is 11 SEGV
